Area,Date,Infected
Hubei,21-Jan,258
Hubei,22-Jan,270
Hubei,23-Jan,375
Hubei,24-Jan,375
Hubei,25-Jan,444
Hubei,26-Jan,1423
Hubei,27-Jan,2714
Hubei,28-Jan,3554
Hubei,29-Jan,4586
Hubei,30-Jan,5806
Hubei,31-Jan,7153
Hubei,1-Feb,9074
Hubei,2-Feb,11177
Hubei,3-Feb,13522
Hubei,4-Feb,16678
Hubei,5-Feb,19665
Hubei,6-Feb,22112
Hubei,7-Feb,24953
Hubei,8-Feb,27100
Hubei,9-Feb,29631
Hubei,10-Feb,31728
Hubei,11-Feb,33366
Hubei,12-Feb,48206
Hubei,13-Feb,51986
Hubei,14-Feb,54406
Hubei,15-Feb,56249
Hubei,16-Feb,58182
Hubei,17-Feb,59989
Hubei,18-Feb,61682
Hubei,19-Feb,62457
Hubei,20-Feb,63088
Hubei,21-Feb,63454
Hubei,22-Feb,64084
China,21-Jan,276
China,22-Jan,309
China,23-Jan,571
China,24-Jan,830
China,25-Jan,1297
China,26-Jan,1985
China,27-Jan,4535
China,28-Jan,5997
China,29-Jan,7736
China,30-Jan,9720
China,31-Jan,11821
China,1-Feb,14411
China,2-Feb,17238
China,3-Feb,20471
China,4-Feb,24363
China,5-Feb,28060
China,6-Feb,31211
China,7-Feb,34598
China,8-Feb,37251
China,9-Feb,40235
China,10-Feb,42708
China,11-Feb,44730
China,12-Feb,59882
China,13-Feb,63932
China,14-Feb,66576
China,15-Feb,68584
China,16-Feb,70635
China,17-Feb,72528
China,18-Feb,74279
China,19-Feb,75101
China,20-Feb,75993
China,21-Feb,76392
China,22-Feb,77041
World,21-Jan,285
World,22-Jan,314
World,23-Jan,581
World,24-Jan,846
World,25-Jan,1320
World,26-Jan,2798
World,27-Jan,4593
World,28-Jan,6065
World,29-Jan,7818
World,30-Jan,9826
World,31-Jan,11953
World,1-Feb,14557
World,2-Feb,17391
World,3-Feb,20630
World,4-Feb,24554
World,5-Feb,28276
World,6-Feb,31481
World,7-Feb,34886
World,8-Feb,37558
World,9-Feb,40554
World,10-Feb,43103
World,11-Feb,45171
World,12-Feb,46997
World,13-Feb,49053
World,14-Feb,50580
World,15-Feb,51857
World,16-Feb,71429
World,17-Feb,73332
World,18-Feb,75204
World,19-Feb,75748
World,20-Feb,76769
World,21-Feb,77794
World,22-Feb,78881
