Hero's Name,Attributes,Win Rate(All Skills),Matches Played(All Skills),Win Rate(Tournament),Matches Played(Tournament),Win Rate(Very High Level),Matches Played(Very High Level),Win Rate(High Level),Matches Played(High Level),Win Rate(Normal),Matches Played(Normal),,,,,,,
Riki,Agility,55.87%,1974443,51.08%,231,54.94%,"201,164",55.81%,"160,305",54.48%,"562,641",,,,,,,
Zeus,Intelligence,55.87%,3212538,50.49%,1014,54.98%,"482,115",55.77%,"356,244",55.83%,"693,110",,,,,,,
Underlord,Strength,55.00%,805163,48.70%,462,53.93%,"129,753",54.75%,"96,207",55.07%,"144,652",,,,,,,
Clinkz,Agility,54.95%,1027746,57.20%,250,56.16%,"161,839",56.93%,"113,549",52.89%,"241,552",,,,,,,
Meepo,Agility,54.37%,834423,49.85%,325,54.72%,"116,462",54.32%,"83,530",50.61%,"194,021",,,,,,,
Abanddon,Strength,54.19%,1225300,55.45%,1650,53.32%,"255,512",53.95%,"144,225",53.65%,"215,934",,,,,,,
Warlock,Intelligence,54.14%,1178085,43.92%,724,52.80%,"179,629",54.52%,"127,924",54.00%,"185,658",,,,,,,
Visage,Intelligence,54.01%,152235,59.44%,143,58.34%,"40,080",56.65%,"17,178",50.30%,"40,953",,,,,,,
Pudge,Strength,53.95%,8507290,48.83%,979,52.35%,"1,004,177",53.33%,"888,683",54.17%,"1,751,703",,,,,,,
Chaos Knight,Strength,53.77%,1353602,49.35%,689,53.49%,"154,082",53.53%,"114,240",52.91%,"288,497",,,,,,,
Naga Siren,Agility,53.72%,617275,46.00%,500,53.13%,"104,064",53.43%,"62,341",53.87%,"131,293",,,,,,,
Drow Ranger,Agility,53.68%,2554350,57.71%,584,55.00%,"225,113",54.60%,"199,211",52.35%,"660,088",,,,,,,
Lycan,Strength,53.46%,383097,67.23%,470,57.30%,"85,584",54.52%,"41,833",50.13%,"90,012",,,,,,,
Spectre,Agility,53.42%,1366031,39.11%,381,51.11%,"171,800",52.65%,"150,262",54.29%,"263,473",,,,,,,
Night Stalker,Strength,53.25%,1302928,52.99%,953,54.29%,"307,657",54.02%,"174,913",52.45%,"205,458",,,,,,,
Clockwerk,Strength,53.15%,988482,54.67%,450,53.05%,"177,369",53.07%,"125,101",53.35%,"193,511",,,,,,,
Vengeful Spirit,Agility,53.05%,977014,52.60%,481,53.66%,"123,428",53.34%,"93,041",53.09%,"219,884",,,,,,,
Wraith King,Strength,52.97%,2017415,48.60%,1107,51.68%,"268,801",52.23%,"191,248",53.09%,"424,646",,,,,,,
Undying,Strength,52.88%,966758,54.28%,1496,53.35%,"178,247",53.53%,"100,110",52.34%,"182,321",,,,,,,
Viper,Agility,52.88%,1798360,46.75%,847,52.70%,"167,064",53.39%,"151,898",52.25%,"395,210",,,,,,,
Silencer,Intelligence,52.76%,1945677,44.48%,571,51.96%,"227,983",52.61%,"188,324",53.32%,"361,457",,,,,,,
Luna,Agility,52.43%,1004128,54.03%,298,53.07%,"126,191",52.16%,"98,869",52.15%,"256,794",,,,,,,
Mirana,Agility,51.96%,3480802,55.52%,1922,53.07%,"617,711",52.30%,"431,680",51.88%,"598,126",,,,,,,
Crystal Maiden,Intelligence,51.65%,3244952,49.09%,1157,50.56%,"431,323",50.90%,"321,768",52.65%,"544,099",,,,,,,
Skywrath Mage,Intelligence,51.57%,2532591,48.32%,1281,51.45%,"384,997",51.73%,"249,382",52.29%,"502,870",,,,,,,
Dazzle,Intelligence,51.56%,1907337,50.89%,959,50.71%,"218,070",50.96%,"182,744",52.19%,"308,347",,,,,,,
Keeper of the Light,Intelligence,51.55%,1375278,56.39%,1667,52.46%,"282,922",51.78%,"153,768",52.11%,"229,667",,,,,,,
