Cities,Population,ConfirmedCases,Recovered,Deaths,Distance
Xiaogan,5800000,3443,1078,102,76.3
Huanggang,7500000,2904,1054,98,75.2
Jingzhou,6410000,1574,681,41,230.8
Ezhou,1076000,1379,417,40,122.2
Suizhou,2216700,1300,498,30,170.1
Xiangyang,6050000,1173,463,28,312.9
Huangshi,2689300,1001,442,29,99.4
Jingmen,3400000,918,361,37,274.6
Yichang,4135900,917,289,29,348.5
Xianning,2535100,836,398,11,92.6
Shiyan,3406000,667,267,2,441.4
Xiantao,1543000,571,248,19,102.6
Tianmen,1609200,494,232,13,157.2
Enshi,4032500,251,123,3,518.7
Qianjiang,962000,191,78,8,156.8
Shennongjia,79248,11,10,0,473
